hostelnumber,num_reviews,description,score,features,policies
113,3871,"Accommodating backpackers and travellers from all over the world for nearly 25 years, Kinlay House is the place to stay in Dublin. Why? We're in the heart of the city in Temple Bar, we're top rated by Hostelworld customers, we have secure rooms with key-card access and we're in an amazing listed building with loads of common rooms. Plus there's an airport shuttle direct from our hostel to the airport for only €7. We've got room sizes to cater for any size groups, from singles to 20-bed dorms with ensuite bathroom or shared facilities. We have lots of free stuff on offer, such as free international phone calls, Wi-Fi and Internet access, walking tours every day, and a different free activity every night, such as free pasta, Irish dancing classes and BBQs! Our light breakfast is free. There's also lockers and safety deposit boxes available (even after you check out) and a hostel shop open 24hrs, with food, toiletries, bus tour tickets, umbrellas, adaptors and more. We've got a fully-equipped self-catering kitchen, large dining room, laundry facilities, hair dryers, phone chargers, a postal service and an amazing common room with a pool table, tons of DVDs, games, books and even a Wii. We offer bicycle hire, great deals on car hire, tours and attractiosn and discounted taxi rates. And of course, we're the home of the legendary Shamrocker tours. We never close - we're open 365 days a year, 24 hours a day. Please be aware that all persons under 18 years of age must be accompanied by an adult and can only be accommodated in a private rooms with private bathroom ( ensuite rooms) .",83,24 Hour Reception|24 Hour Security|Adaptors|Airport Transfers|Board games|Book Exchange|Free Breakfast|Cable TV|Cafe|Card Phones|Common Room|Telephone/Fax Facilities|Free City Maps|Free Internet Access|Free WiFi|Games Room|Hair Dryers|Hair Dryers For Hire|Hot Showers|Housekeeping|Internet Access|Jobs Board|Key Card Access|Self-Catering Facilities|Late check-out|Laundry Facilities|Linen Included|Security Lockers|Luggage Storage|Meals available|Meeting Room|Mini-Supermarket|Parking|PlayStation|Pool Table|Postal Service|Reception (limited hours)|Safe Deposit Box|Shuttle Bus|STEAMROOM|Tours/Travel Desk|Towels for hire|Vending Machines|Washing machine,Credit Cards Accepted|No Curfew|Taxes Included
119,4874,"Dublin's favourite hostel has everything you require. We have the best location for visiting the Guinness Storehouse, Jameson Distillery, Temple bar and the Brazen Head - Ireland's oldest pub!! We were voted Dublin's best hostel in February 2011 and Lets go guidebook states 'Best hostel in Dublin'. Great! We provide free Internet and Wi-Fi, free international phone calls to over 40 countries, free breakfast, free guided walking tours and free city maps. Wednesday is discounted pub crawl night and Thursday is free BBQ and discount beers night. Cool! Enjoy the latest movies with surround sound, Wii games, foosball, a pool table, board games, a book swap library in our reading room and even free guitars to make yourself more attractive to the opposite sex! If you feel like cooking we've got a large self-catering kitchen and dining area; we can also provide packed lunches and arrange meals for groups. Drinks and snacks are available anytime from our vending machine. Plus there's bottled water to combat that morning-after feeling after a night out on our Hostels Pub Crawl! Our facilities include a smoking area, laundry facilities, car parking, an elevator, recycling facilities, a printer for boarding passes, plus discounts on all major tourist attractions, pub crawls every night, day tours and car hire arranged right at our desk. Reception is open 24hrs a day, making sure there's excellent security at all time. There's an airport shuttle bus direct from the hostel, from very, very early in the morning until late at night - just ask us about it! Our twin and double rooms have bunk beds. The 16-bed dorm and the 12-bed dorm are interconnected and share the same shower rooms, please be aware of this before you book. For this reason these two rooms are not suitable for large groups. Breakfast is included in the price and has a great choice of cereals, etc. Please note that children under 18 cannot share in dorms, they must be booked into a private room.",83,24 Hour Reception|24 Hour Security|Adaptors|Airport Transfers|Bicycle Parking|Board games|Book Exchange|Free Breakfast|Cable TV|Common Room|DVD's|Elevator|Free City Maps|Free Internet Access|Free WiFi|Foosball|Games Room|Hair Dryers|Hot Showers|Housekeeping|Internet Access|Key Card Access|Self-Catering Facilities|Laundry Facilities|Linen Included|Security Lockers|Luggage Storage|Mini-Supermarket|Outdoor Terrace|Parking|Pool Table|Postal Service|Safe Deposit Box|Shuttle Bus|STEAMROOM|Tours/Travel Desk|Towels for hire|Vending Machines|Washing machine|Wii,Credit Cards Accepted|No Curfew
120,3643,"*Award-Winning*World-Famous* City-Centre* *Most-Fun*Hot-Showers*Best-Value*FREE-Goodies* A chairde / Dear Friends, Thanks for seeking more info on The Most Famous City-Centre Hostel in Ireland - regularly featured on National TV, the best facilities for travellers and the most Irish Hostel in Dublins Fair City, come visit & see for yourself. THE 2 'Best Bits' 1. City-Centre 2.FREE Day-Trip* * Free Day-trip Info **Monday to Thursday only For ALL guests who book a 2 minimum of 2 nights, we offer a FREE guided bus-tour to Glendalough (Braveheart & PS I Love You) & Kilkenny. Tour is offered by Paddywagon Tours and is worth 28. Tour departs our hostel daily @ 8am, returns 5.30pm approx. Simply book your tour on check-in to hostel or email us in advance. Proof of 2 night accom booking is required. This is not a gimmick, there is no catch. Enjoy our gift to you! There are 10 reasons you should stay with us, our 10 Hostel Commandments! ;) Is mise le meas / from us to you with respect The Paddys Palace Team *** THE 10 COMMANDMENTS... {of a Dublin Hostel} 1. City-Centre Location 2. FREE Bus-Tours/Day-Trips 3. Comfortable, clean & cosy Beds 4. 24 Hour reception & security 5. FREE security lockers 6. FREE Internet 7. FREE Breakfast & Huge Modern Kitchen 8. 100% Irish 9. Best Pubs in Dublin, therefore the World! 10. 2 minutes walk to the main bus station, train station and Luas stop! *** 1. City-Centre Location [smack bang in city-centre, within walking distance of Everything, NO rip-off taxis needed] 2. FREE Bus-Tours/Day-Trips [Free Day-trips to Glendalough & Kilkenny, save 28] 3. Comfortable, clean & cosy Beds [FREE linen cleaned by Pro. laundry Co, Modern, clean rooms] 4. 24 Hour reception & security Our reception is staffed 24/7. CCTV, key-card security & no-tolerance of noise after 11.30pm] 5. FREE security lockers [store your passport & valuables for FREE] 6. FREE Internet [we passionately believe in Free internet for all guests, includes WiFi wireless] 7. FREE Breakfast & Huge Modern Kitchen [a healthy breakfast &tea/coffee. Huge modern kitchen to cook Lunch & Dinner] 8. 100% Irish [we are 100% Irish owned, support Irish Jobs! Enjoy our hospitality] 9. Best Pubs in Dublin, therefore the World! [30 seconds walk to The Celt music, laughter, friendly locals & Guinness of course!] 10. Public transport such as the main bus station, train station and Luas are 2 minutes walk from the hostel. *** GENERAL INFO PADDYS PALACE is always a full of activity, music, laughter & conversation. There are FREE walking tours & our hostel is the hub for Paddywagon Tours {Irelands largest Tour Co.} and they have 10 Guided bus-tour departures per day to the 4 corners of Ireland. Our beautiful Hostel was built in 1792 by Gandon, the most accomplished architect in Irish History. We face the most majestic building in Ireland The Customs House (also the work of good old Mr. Gandon!). Enjoy your stay!",64,24 Hour Reception|24 Hour Security|Airport Transfers|Free Breakfast|Cable TV|Common Room|Free Internet Access|Free WiFi|Internet Access|Jobs Board|Key Card Access|Self-Catering Facilities|Linen Included|Security Lockers|Luggage Storage|STEAMROOM|Tea & Coffee Making Facilities|Tours/Travel Desk|Towels for hire,Credit Cards Accepted|No Curfew
128,7,"Very low prices for June, the end of August and September! Villa Fanny is a nice and cozy family guesthouse located in the town of Sinemoretz , offering comfort, silence and pleasant atmosphere among the paradise garden with exotic plants species. At your service there are 3 double rooms, 4 studios and an apartment. It is situated 330km from Istanbul, 90km from Bourgas, 10 meters away from the oak woods of Strandzha Nature Reserve, 400 meters from the Central beach of Sinemoretz and 500 meters from the beach 'Mouth of the Veleka River'. There is a large garden and bar in the Villa Fanny where you can find beautiful covered with flowers spots to relax and drink a coffee and to taste the national specialty breakfast and dinners made by the hostess Fanny. Only at Villa Fanny Sinemoretz you will feel like you are at home - our apartment and studios are offering all you need for your comfortable vacation, the apartment and studios are equiped: With kitchen (cooking stove, fridge, plates, coffee maker) bathroom, air conditioning, veranda, mini-bar, Cable TV, fridge and Free High-Speed Internet access (wireless connection)! We offer transfer from Burgas airport to Villa Fanny. We are open all year. ++Payment on cash on arrival",0,Air Conditioning|Breakfast Not Included|Cots available|Free WiFi|Laundry Facilities,
130,67,"RECENTLY RENOVATED Hotel Turist offers comfortable accomodation for favourable price in 99 single, double and triple rooms, which are equipped with bathroom, toilet, TV with satellite programs and fridge. Each room has balcony, some of them have telephone. The front desk is available for the guests 24 hours. **Please note that you will need to pay a City tax of 1,65 Eur per person per night on arrival! Children and students up to 26 do not pay this tax.** There is a restaurant with 88 seats. For seminars and conferences we offer a conference room for 25 persons. In leisure time you can visit hairdressers and cosmetic salon or sauna directly in our hotel. Our guests can park their cars and buses next to hotel. We are looking forward to your visit.",65,24 Hour Reception|Breakfast Not Included|Telephone/Fax Facilities|Free City Maps|Free Parking|Free WiFi|Hot Showers|Internet Access|Luggage Storage|Meeting Room|Outdoor Terrace|Parking|Restaurant,Credit Cards Accepted|Non Smoking|Pet Friendly|Taxes Not Included
139,192,"Only private rooms Hostel price, hotel service This is the best place to enjoy the gay scene and the night life of the Spanish capital. The citys biggest attractions are also nearby so it is not necessary to use public transport. Museums, bars, palaces, clubs, discos.....all are here. If you are not gay, dont worry, this is your home in Madrid now and we promise not to eat you :) Women are especially welcome, also. When you arrive in Madrid, it is easy to find the Puerta del Sol Hostel, just ask for Puerta del Sol Square. Our staff will give you map and information of the gay area and places to enjoy in your arrival time. Also, from time to time, we have free tickets of the best gay discos of Madrid, for you. The Hostel offers private rooms with private bathrooms, balcony or terrace with square views, air conditioned and TV. Also, there is none expensive rooms singles or twins, with absolutely clean shared bathrooms in the floor. Recreation TV room, and dining room, in very nice decoration, altogether in a most pleasant atmosphere for your enjoinment. Elevator in the building. Continental Breakfast included in the prices. Coffee and tea free 24 hours. Computer with Internet access free in the reception, and Wireless free in common areas for your private laptop. You can leave your luggage from the check-out till your exit in the afternoon. Madrid is on the move, Madrid is nightlife, party time and tourism. Madrid is alive twenty-four hours a day. Come visit and stay with us on your first or repeat visit. Come and experience Madrids exciting life!! come back here!! come back to the world's center!! Vamos, Madrids charms await you!!",83,Air Conditioning|Free Breakfast|Cable TV|Cots available|Elevator|Free Internet Access|Free WiFi|Hot Showers|Internet Access|Safe Deposit Box|Towels Included|Wheelchair Friendly,Credit Cards Accepted|Taxes Included
144,13,"Your new choice for an unforgettable holiday on the Black Sea Coast of Bulgaria! The cozy family hotel 'Kalina' situated 1200m from the beach in the oldest Black Sea resort in Bulgaria. 'St.St.Konstantin and Helena' is situated between Varna town and Golden sands resort. These resorts are famous for their clean and warm sea, soft and golden sands, curative mineral hot water and century old forest which is up to the seashore. The favorable influence of the sea and the combination with mineral water and forest make this resort unique for climatic treatment. Hotel 'Kalina' is suitable for everybody who is looking for coziness, silence and excellent home food.",0,24 Hour Reception|Air Conditioning|Airport Transfers|Bar|Free Breakfast|Cable TV|Free City Maps|Free Parking|Free WiFi|Hot Showers|Internet Access|Laundry Facilities|Minibar|Outdoor Terrace|Reading Light|Restaurant|Tea & Coffee Making Facilities|Vending Machines,Credit Cards Accepted|No Curfew|Non Smoking|Taxes Included
145,65,"The Purple House International Backpackers' Hostel, is proud to be the longest operating original backpacker hostel in the entire country of Panama with the same location and same owners since we opened our doors in 2002. We are located in the second largest city in Panama, David City and have welcomed over 40,000 satisfied international travellers in the last 14 years. The Purple House is a fun place to meet other travelers because it's clean, safe, home and comfortable. Our staff is is combination of native Panamanians and travelers and we all know what backpackers and travelers are looking for! Our theme is purple, and most guests are surprised to see just how many things we have managed to find in the color purple! We offer : Free FAST WiFi for our guests Fully equipped kitchen like at your own house! Common Area with cable TV, stereo, board games Book Exchange (guests only!) Dorm rooms from 6-10 people Private rooms from 1-4 people with air-conditioning and TV Reference guide books 24 Hour Check-in/Security. Unique Refreshing SPLASH PAD in our Outdoor Sun Garden Cheap Laundry service. Cheap International phone calls Eco-friendly and socially and community conscious atmosphere. A cute friendly dog. A deep and abiding love for all things PURPLE! Here are some additional reviews from February/March 2016 'Your property is one the cleanest and well maintained places that we have stayed in during our travels in Central America. U.S.A. 'My father wanted to stay in a hotel, but I wanted to meet other young travelers. It worked out perfectly that we could get a private room, and I could hang out with the other travelers.' U.S.A. 'We had fun but we also appreciated that we could get a good night sleep for our early hike the next morning.' Holland Sometimes the reservation system shows us as full (for same day and next-day reservations), when in fact, we have plenty of space available. If the system won't allow you to reserve contact us directly at the property to confirm availability. When you reserve through this service, your room will be held until 6:00pm on the arrival date, unless you contact us directly at the property to give us more detailed credit card information.",64,24 Hour Reception|24 Hour Security|Adaptors|Air Conditioning|Airport Transfers|ATM|Bar|Bicycle Hire|Bicycle Parking|Board games|Book Exchange|Free Breakfast|Cable TV|Cafe|Card Phones|Common Room|DVD's|Telephone/Fax Facilities|Free City Maps|Free Internet Access|Free Parking|Free WiFi|Games Room|Fitness Centre|Hair Dryers|Hair Dryers For Hire|Hot Showers|Housekeeping|Internet Access|Jobs Board|Self-Catering Facilities|Late check-out|Laundry Facilities|Linen Included|Security Lockers|Luggage Storage|Mini-Supermarket|Outdoor Terrace|Parking|Postal Service|Reception (limited hours)|Restaurant|STEAMROOM|Tea & Coffee Making Facilities|Tours/Travel Desk|Towels for hire|Vending Machines|Washing machine|Wheelchair Friendly,Credit Cards Accepted|No Curfew|Taxes Included
148,490,"See our special deals and get a discount Come see the renovated Lime House Buenos Aires Youth Hostel. We are very well located at the corner of 9 de Julio Av and Rivadavia St, in the real heart of Buenos Aires, that's why is really easy, fast and cheap to get to the main attractions of BA (take a look to picture #2) From our Terrace you can see the worldwide known Obelisk of Buenos Aires (a landmark of the city) while you drink a beer you can get from our BAR. We have also a Cable TV room where you can watch your favorite sport resume; a POOL table, and a chill out area beside the front-desk where travelers share a drink. We have a fully equipped self-service Kitchen where you can cook your meals for lunch or dinner, because Breakfast is included in the rate. If you need to wash your clothes, we have Laundry facilities, and if you want to keep traveling but don't want to carry your entire luggage we have an under key Luggage store for it, where we take care of it. Our Dorms are for 4, 6 people mostly (we have one for 12 which is cheaper) and they all have lockers where you can leave your backpack (yes, a backpack! the lockers are huge). We also have DOUBLE ROOMS (one of them with bathroom ensuite) for the couples or those who want some privacy. Our bathrooms are semi-private: though they are outside the room and they are to share, they are integrated (there's a toilet, a shower and a lavatory for each bathroom) so when you close the door, you are alone. The Staff is prepared to help you in your needs, no matter if you look for tourist information, cultural advice, where to buy shoes or if you need a doctor; we´ll be there... From the Lime House' front desk you can also book: -Bus tickets -Tango shows -Skydiving -Ranch day -Bike tours & city tours -Night clubs tickets (for free!) and lots of other excursions! For all this, we do believe our staff and place is prepared to receive your traveler bones, and we'll do our best to insure you a great stay in Buenos Aires; and we have three bonus tracks for you: location, location and location... We hope to see you soon!!! Lime House Youth Hostel Staff Important: The check-in time is at 12pm. If you know you are arriving later, please send an e-mail with your booking reference number and let us know at what time you are going to arrive.",63,24 Hour Reception|24 Hour Security|Bar|BBQ|Bicycle Hire|Board games|Book Exchange|Free Breakfast|Cable TV|Ceiling Fan|Common Room|Currency Exchange|Free City Maps|Free Internet Access|Free WiFi|Games Room|Hot Showers|Housekeeping|Self-Catering Facilities|Laundry Facilities|Linen Included|Security Lockers|Luggage Storage|Outdoor Terrace|Pool Table|STEAMROOM|Tours/Travel Desk|Towels Included|Washing machine,Age Restriction|Credit Cards Accepted|No Curfew
149,7,"Posada Belen A 1873 colonial home converted into an intimate Hotel & Museum centrally located in the historical center of Guatemala City, run by the same family since opened in 1972 to international tourism. It was slowly transformed from a home into a very special inn. It is highly recommended in most travel guides and by former clients. We have over 300 authentic Maya artifacts on display and unique antique handicrafts plus many old primitive paints makes Posada a true Museum, but most of all we just are a clean, safe, centrally located, quiet inn with moderat prices, good beds, good food, friendly, and highly recommended Home",97,Breakfast Not Included|Hot Showers|Luggage Storage|Parking|Restaurant|Tours/Travel Desk,No Curfew
158,318,"Welcome to The Istanbul Paris Hostel! . Privately run hostel offering the best value budget accommodation and Paris Hostel is located in the old historic sites of Istanbul. It is just a walking distance from the Blue Mosque, Saint Sophia Topkapi Place Hippodrome,Grand Bazaar and the other sight seeing attractions in Istanbul.... Istanbul Paris Hostel is located in the centre of the old city, Just 300 meters from Blue Mosque, Hippodrome, Saint Sophia and 500 meters walk to the famous Grand Bazaar. Tourism information office, banks, restaurants, change offices, and other historical monuments are also with in a few minutes walking distance. Common Area is a very lively and air-conditioned common area where you can meet other travellers. At the bar you can enjoy famous Turkish Pilsener ' Efes Pilsen' as well as International spirits and local Turkish drinks. Belly Dancer Show. Our cafe has a tasty variety of Turkish and Western food at affordable prices. Our cafeteria is even popular with the local university students. It is open from 7 a.m. until mid-night. From our information desk you can find the answers to all your turkey travel questions. From here you can also book a variety of Istanbul and Turkey tours. Computer/ Internet: We have FREE Wi-Fi(Wireless fidelity) Enjoy our Satelite TV and huge terrace overlooking the Marmara Sea! It is a wonderful place to have a rest while drinking your cafe or beer or water pipe. In summertime, it gives you access for a sun bath at the day and unforgettable barbecue parties at the evening. Paris Hotel&Hostel has 24 hour Hot and Cold running water. A luggage storage room is available FREE for our guests use. It is permanently locked. The key is available from reception. Our safe is also available for our guests to store valuables. A Wake-up service is available 24 hours a day. An airport shuttle can be booked to pick you up from Paris Hostel day and night and we have pick-up service from Ataturk airport and Sabiha Gokcen airport. Please remember to provide your flight details if you would like this service.",0,24 Hour Reception|Air Conditioning|Airport Transfers|Bar|Bicycle Parking|Cable TV|Cafe|Card Phones|Telephone/Fax Facilities|Free WiFi|Hair Dryers|Hot Showers|Late check-out|Laundry Facilities|Linen Included|Luggage Storage|Reception (limited hours)|Shuttle Bus|STEAMROOM|Tours/Travel Desk|Towels for hire|Towels Included,Credit Cards Accepted|No Curfew|Taxes Included
160,221,"WELCOME TO VILLA MICIKA IN NEW SEASON Villa Micika is open all year round. Reserve your room and place under the sun on-line today. Book your vacation / holiday today online from the comfort of your home/office. The greatest vacation begins with a single click. NEW! IN WINTER TIME FROM 01.11. to 30.04 - FREE PICK UP SERVICE FROM THE MAIN BUS STATION OR FERRY PORT TO OUR HOSTEL. All guests are provided FREE INTERNET and if you have your own laptop or pocket PC , we have FREE WI-FI (WIRELESS) access to the internet. If you travel with a GPS our coordinates are: 42.655300, 18.074800 Vila Micika is the perfect location for your visit to Dubrovnik and our villa is the ideal choice for the tourist and modern backpacker. The guest house is also available for groups families , students excursion and wedding . An email will be sent to you from Head Office within 12 hours to confirm your booking. You will also receive from the hostel e-mail with all the instructions too. So please check your mails before arriving . If you want we will send direction by SMS if you have your mobile phone with you. For guests coming from the US or Asia, please make sure you that your mobile is working on the European network (GSM). If you have any suggestions and comments that might be useful for future editions please feel free to add your comments on Hostel Reviews. Villa is situated on the peninsula of Lapad, the most beautiful part of Dubrovnik. The surrounding Mediterranean sub-tropic vegetation enables you to enjoy almost perfect peace and natural beauty. The Villa is near to the sandy beach of Sumratin and a promenade where it is pleasant to take a walk, either if it is hot during the summer or during the mild winter. The distance from the Old Town is approximately 2 km, so it is easily accessible by foot or car. In addition, the public transportation service is accessible from the bus stop near our villa. We have a supermarket next to the hostel were you can buy your food and beer at a cheap price and save a lot of money on your trip Villa Micika is open year-round, with first class rooms all with TV/SAT, AIR-CON, free WIFI , refrigerator , shower-bath and toilet. The guests can use a big terrace with chairs, table and barbecue, a good chance for happy hour and dinner party. Although we do not have a kitchen, guests can use a refrigerator , microwave and water-cooker. There are many cafes, bars and restaurants close to the hostel. We offer private rooms at the lowest prices of the Dubrovnik hostels. We have rooms all with TV/SAT, fridge all with private shower-bath. The price includes all utility costs (water/electricity), bed linen, towels, personal locker and final clean-up. It also includes a tourist tax . **WE SUGGEST THAT YOU PRINT YOUR BOOKING CONFIRMATION. If you are coming to Dubrovnik for a conference we are only a 10 minute walk to the Hotel Dubrovnik Palace and Hotel President Dubrovnik convention center and we are a five minute drive to the Hotel Hilton Imperial, Grand Villa Argentina and Excelsior convention Center. If you have your own laptop , we have free wireless access to the internet. Our villa close to: Money Changer - , 100 metres ATM - , 50 metres Telephone Booth - 50 metres Safe free car parking nearby - 0 metres Internet cafe - 200 metres International University Centre -1,5 km American college - 1,5 km Irish pub - 500 metres Restaurants - 10 metres Tourist services - 50 metres Tennis courts -10 metres Supermarket - 50 metres WE OFFER:: *FREE ADSL,Computer and Internet ask upon arrival *FREE WIFI wireless internet for laptop users *FREE city map and event guide *FREE Satellite TVs with all world news and sports *FREE Bed Linen and Towels. No kitchen (only refrigerator, microwave and water-cooker) *Open 365 days a year, 24 hours a day *24 hours hot water. *Groups of all sizes welcome *10% discount on food and drink *FREE LUGGAGE room available on arrival and departure if you have a night flight or ship *Join our fan page 'Hostel Villa Micika - Dubrovnik ' on facebook! ***NEW*** As well as accommodation we also offer sailing trips to the Elafiti Islands, daily excursion three island cruise & fish picnic, Big game fishing, cruising by night, Canoe Safari, Horseback riding, Dubrovnik Panorama & Sightseeing, JEEP SAFARI - OFF ROAD mountain experience, Rental car, Boat rental , excursions to Medjugorje , Mostar, Montenegro or Sarajevo ***Airport pickup can be arranged if requested, from airports to Villa Micika . There is a 25 Eur Regular Charge for Pickup Service. If you want us to pick you up from the airport, please let us know in advance the flight number and arrive time by email or SMS . WE HAVE FREE TRANSPORT FROM THE AIRPORT!! if you stay 10 or more nights from November 01, 2015 to February 29, 2016, ***Check-in is after 2pm. Free luggage storage is available for those arriving earlier. Free luggage storage after check-out in our main office; We recommended Visit Ston and Vila Koruna and enjoy in oyster delicacies that are cultivated in Bay of Mali Ston. VILA KORUNA is located at Mali Ston on the peninsula of Peljesac, along the sea, only 50 km away from Dubrovnik. It has 6 luxurious rooms and fully furnished apartments (TV-SAT, phone, air-conditioning) together with a restaurant, banquet hall and summer terrace. Whether the reason for your visit to Mali Ston is business or pleasure, contact the professional staff of Vila Koruna that will make your stay as pleasant as possible. Amenities - Close to the green market, fishmonger's, Butcher's, wine seller, souvenir shop, pizzerias, patisseries, pub, restaurants, city transportation, taxi, surgery (doctors office), hairdresser's, rent-a-car, tourist agency, the bank, the post office, pharmacy all in the walking distance of 150 to 300m... A hotel swimming pool, fitness center, terrace with live music for dancing and Internet club just 100m away. Tennis Center, beach volleyball, water sports, boat rental, all day, half day and sleep over excursions, fish picnics, specialized tourist boats leave from the main beach on a daily basis and all that just 300m away. A walkway with rich Mediterranean vegetation follows the coastline also 300 m away Sports: Football stadium, yacht club, rowing club, diving club, tennis club Many European countries have charter flights and package holiday deals for Dubrovnik. For example: Norwegian Air Shuttle, Air Adriatic, Sky Europe, Lithuanian Airlines, Air Mediteranee, British Airways, Austrian Airways , Tui Airlines Belgium, LTU, Astraeus, First Choise Airways, Aer Lingus, Blue Line, Hamburg International, Hapag-Lloyd, Malev Hungarian Airlines, Lufthansa, Germanwings, Estonian Air , Hapag-Lloyd Express During your stay in in Dubrovnik we recommend that you a visit to Dubrovnik City Walls, the island of Lokrum, Trsteno and the Arboretum, Ston and the Ston Walls, City of Korcula as well as National Park of Mljet- on the island of Mljet. So if you are looking to have a great time in Dubrovnik and meet new people in a fun and friendly environment then come and stay with us. We look forward to seeing you. Vila Micika staff wish you an unforgettable holiday in Dubrovnik! See you soon! Toni Toni Pejic Manager Villa Micika, Dubrovnik, Croatia Thank you for visiting our page and have a safe trip to Dubrovnik!",81,Air Conditioning|Airport Transfers|ATM|BBQ|Bicycle Parking|Book Exchange|Breakfast Not Included|Cable TV|Currency Exchange|Telephone/Fax Facilities|Free City Maps|Free Internet Access|Free Parking|Free WiFi|Hot Showers|Laundry Facilities|Linen Included|Security Lockers|Luggage Storage|Mini-Supermarket|Outdoor Terrace|Parking|Reading Light|Restaurant|STEAMROOM|Tours/Travel Desk|Towels Included,No Curfew|Pet Friendly|Taxes Included
164,76,"One of Fiji\'s most established higher premium upmarket resorts in Nadi. Spend a little more to gain access to high star treatment and affordable rooms! Located closely to shopping malls, renowned authentic restaurants and in the heart of the high night-life establishments if you so wish to venture out with only a few minutes walk. Also have easy access to local buses and taxis should you wish to go to town or airport and all Boat and cruise operators including South Sea Cruises/Awesome Adventures, Capt Cook, Feejee Experience & Robinson Crusoe provide pick-up from the doorstep. Winner in 2004 of the Excellence Award for Fiji\'s Best Budget Hotel, our motto is \'where guests become friends\', the perfect place to start your Fiji travel experience. Accommodation includes air-conditioned rooms with services, private and share facility rooms and two bedroom apartments. There are custom made private lounge dorms and larger ones to accommodate both small & big groups. We also have group facilities like a theatre room, game room and 3 designer pools. Room rates include a continental breakfast. Dining facilities in our two restaurants, Whispers and Mango Poolside, offer great food ranging from A-La-Carte to budget menus and snacks at affordable prices. A third bar is located at the second poolside. The Hotels reputation for great dining is highlighted in the recently published \'Under The Mango Tree\', a 96 page cook book with a difference. It includes our staff, many of our guests, and lots of recipes. Our book was selected and short listed as a finalist in \'Best in World Foreign Cookbook Awards\' held in April 2007 in Beijing. Other facilities include a Boutique, an internet room with seven Broadband computers, laundry services, Happy Hour at both bars, and room services. Our Hotel is a major central point where you can arrange all your island hopping, trekking, scuba diving, waterfall tours, rafting, skydiving, sailing, and all day excursions. We specialize in small groups up to 40 guests. Perfect for wedding parties, conferences and student groups. Nadi Bay Hotel\'s friendly, courteous staff and efficient service make a great place to meet new friends. We provide Free 1/2 hour WIFI.",80,24 Hour Reception|24 Hour Security|Air Conditioning|Airport Transfers|Bar|Free Breakfast|Cable TV|Card Phones|Common Room|Currency Exchange|Telephone/Fax Facilities|Free Parking|Games Room|Hot Showers|Internet Access|Linen Included|Security Lockers|Luggage Storage|Parking|Pool Table|Postal Service|Reading Light|Restaurant|Safe Deposit Box|Swimming Pool|Tours/Travel Desk|Towels for hire|Vending Machines,Credit Cards Accepted|No Curfew
170,122,"Here at Courtbrack Accommodation, we are committed to your comfort and safety, without breaking your budget. Our modern facilities are on Limerick's Dock Road, just a short walk (15mins walk 5 by taxi) from the city centre, and adjacent to Mary Immaculate College. The University of Limerick is 15 minutes away (by car or taxi), and Shannon Airport just 15 miles. Free Wi-Fi and internet room. We have rooms to suit everyone's needs; Single, Twin or Family, and modern shower units which are meticulously maintained As well as all the usual amenities you'd expect, we also have some special extras to make sure you enjoy your stay in Limerick, with special emphasis on customer service and satisfaction Our prices also include use of our self-catering kitchen and common room, free car parking, and from June through August, a light continental breakfast. Free Wi-Fi",84,24 Hour Reception|24 Hour Security|Adaptors|Bicycle Parking|Free Breakfast|Cable TV|Common Room|Telephone/Fax Facilities|Free City Maps|Free Internet Access|Free Parking|Free WiFi|Hair Dryers|Hot Showers|Housekeeping|Internet Access|Key Card Access|Self-Catering Facilities|Laundry Facilities|Linen Included|Security Lockers|Luggage Storage|Parking|Safe Deposit Box|STEAMROOM|Towels Included|Vending Machines|Washing machine|Wheelchair Friendly,Child Friendly|Credit Cards Accepted|Non Smoking
172,62,"Welcome to the Residencial Das Araras Youth Hostel and Inn. Our multi-lingual staff (Fluent in English, Portuguese, Spanish and Korean) will help you feel right at home! We offer 20 beds in 5 comfortable rooms. There are 4 beds per room, bunk style with clean bed linens provided. Each room provides personal space for luggage, a private bathroom with shower, ceiling fan and window screens for mosquito free sleep. We also have 5 tent sites available for you to pitch your own tent. The tent site area is level and covered with grass and there is a public bathroom with a shower area for your convenience. A swimming pool with bar service and BBQ, community kitchen/cafe, whole hostel WIFI internet access and beautiful landscaped yard with porch hammocks for relaxing, complete the amenities. A light breakfast buffet is provided for free daily. Additional snacks and beverages can be purchased from the service bar and cafe. We also have a secure parking area for your convenience. Our ideal location is conveniently close to public transportation, Mini-markets, restaurants, nightclubs, shows and shopping. Residencial Das Araras is located in Taperapuan Beach, also known to locals as Orla Norte, this is the premier beach area of Porto Seguro. You can find Residencial das Araras just north of the city's center in a peaceful residential area between two well known, middle class neighborhoods (bairros), named Village 1 and Balneario de Taperapuan. Pristine beaches, beautiful ocean vistas and the best beach clubs await you, only a 10 minute walk from your room If you have Transportation Problems, Need Translation Help or Need Further Directions to the Hostel, just contact us. Bem Vindos !",86,24 Hour Reception|24 Hour Security|Bar|BBQ|Bicycle Parking|Free Breakfast|Cafe|Ceiling Fan|Free Internet Access|Free Parking|Free WiFi|Hot Showers|Laundry Facilities|Linen Included|Luggage Storage|Mini-Supermarket|Outdoor Swimming Pool|Parking|Swimming Pool|Tours/Travel Desk|Towels for hire|Washing machine,No Curfew
